IdContatore;Edificio;Data;Valore;Stato
2001;Scuola Primaria Dante Alighieri;2025-01-06;173,6;OK
2002;Scuola Primaria Dante Alighieri;2025-01-06;77,1;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-06;294,0;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-06;139,0;OK
2005;Biblioteca Civica;2025-01-06;113,5;OK
2006;Asilo Nido Girotondo;2025-01-06;80,9;OK
2007;Asilo Nido Girotondo;2025-01-06;51,7;OK
2008;Piscina Comunale;2025-01-06;1.370,8;OK
2009;Piscina Comunale;2025-01-06;292,9;OK
2010;Centro Sportivo Città di Lodi;2025-01-06;255,1;OK
2001;Scuola Primaria Dante Alighieri;2025-01-07;180,2;OK
2002;Scuola Primaria Dante Alighieri;2025-01-07;80,4;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-07;277,4;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-07;136,4;STIMA
2005;Biblioteca Civica;2025-01-07;127,6;OK
2006;Asilo Nido Girotondo;2025-01-07;92,2;OK
2007;Asilo Nido Girotondo;2025-01-07;60,6;OK
2008;Piscina Comunale;2025-01-07;1.294,1;OK
2009;Piscina Comunale;2025-01-07;301,8;OK
2010;Centro Sportivo Città di Lodi;2025-01-07;266,3;OK
2001;Scuola Primaria Dante Alighieri;2025-01-08;174,8;OK
2002;Scuola Primaria Dante Alighieri;2025-01-08;92,4;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-08;310,7;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-08;121,5;OK
2005;Biblioteca Civica;2025-01-08;115,1;STIMA
2006;Asilo Nido Girotondo;2025-01-08;84,0;OK
2007;Asilo Nido Girotondo;2025-01-08;60,8;OK
2008;Piscina Comunale;2025-01-08;1.376,3;OK
2009;Piscina Comunale;2025-01-08;311,9;OK
2010;Centro Sportivo Città di Lodi;2025-01-08;268,7;STIMA
2001;Scuola Primaria Dante Alighieri;2025-01-09;171,6;OK
2002;Scuola Primaria Dante Alighieri;2025-01-09;95,5;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-09;286,1;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-09;149,5;OK
2005;Biblioteca Civica;2025-01-09;127,0;OK
2006;Asilo Nido Girotondo;2025-01-09;79,9;OK
2007;Asilo Nido Girotondo;2025-01-09;64,4;OK
2008;Piscina Comunale;2025-01-09;1.306,8;OK
2009;Piscina Comunale;2025-01-09;355,2;OK
2010;Centro Sportivo Città di Lodi;2025-01-09;247,3;OK
2001;Scuola Primaria Dante Alighieri;2025-01-10;176,5;OK
2002;Scuola Primaria Dante Alighieri;2025-01-10;97,0;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-10;299,8;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-10;119,4;OK
2005;Biblioteca Civica;2025-01-10;132,2;OK
2006;Asilo Nido Girotondo;2025-01-10;86,1;OK
2007;Asilo Nido Girotondo;2025-01-10;55,3;STIMA
2008;Piscina Comunale;2025-01-10;1.397,1;OK
2009;Piscina Comunale;2025-01-10;322,5;OK
2010;Centro Sportivo Città di Lodi;2025-01-10;252,0;OK
2001;Scuola Primaria Dante Alighieri;2025-01-11;82,1;OK
2002;Scuola Primaria Dante Alighieri;2025-01-11;86,6;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-11;146,1;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-11;157,2;OK
2005;Biblioteca Civica;2025-01-11;58,8;OK
2006;Asilo Nido Girotondo;2025-01-11;44,2;OK
2007;Asilo Nido Girotondo;2025-01-11;65,6;OK
2008;Piscina Comunale;2025-01-11;807,9;OK
2009;Piscina Comunale;2025-01-11;299,2;OK
2010;Centro Sportivo Città di Lodi;2025-01-11;135,4;STIMA
2001;Scuola Primaria Dante Alighieri;2025-01-12;92,2;OK
2002;Scuola Primaria Dante Alighieri;2025-01-12;83,6;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-12;180,4;STIMA
2004;Palazzo Comunale – Piazza Libertà;2025-01-12;148,6;ERR
2005;Biblioteca Civica;2025-01-12;56,8;OK
2006;Asilo Nido Girotondo;2025-01-12;46,7;OK
2007;Asilo Nido Girotondo;2025-01-12;61,5;STIMA
2008;Piscina Comunale;2025-01-12;805,0;OK
2009;Piscina Comunale;2025-01-12;324,2;ERR
2010;Centro Sportivo Città di Lodi;2025-01-12;157,2;OK
2001;Scuola Primaria Dante Alighieri;2025-01-13;175,3;STIMA
2002;Scuola Primaria Dante Alighieri;2025-01-13;85,8;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-13;319,9;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-13;128,1;OK
2005;Biblioteca Civica;2025-01-13;126,2;OK
2006;Asilo Nido Girotondo;2025-01-13;93,7;ERR
2007;Asilo Nido Girotondo;2025-01-13;52,0;OK
2008;Piscina Comunale;2025-01-13;1.315,9;OK
2009;Piscina Comunale;2025-01-13;312,7;ERR
2010;Centro Sportivo Città di Lodi;2025-01-13;271,3;OK
2001;Scuola Primaria Dante Alighieri;2025-01-14;156,6;STIMA
2002;Scuola Primaria Dante Alighieri;2025-01-14;97,5;STIMA
2003;Palazzo Comunale – Piazza Libertà;2025-01-14;308,1;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-14;149,8;OK
2005;Biblioteca Civica;2025-01-14;125,2;OK
2006;Asilo Nido Girotondo;2025-01-14;87,9;OK
2007;Asilo Nido Girotondo;2025-01-14;67,4;OK
2008;Piscina Comunale;2025-01-14;1.409,4;OK
2009;Piscina Comunale;2025-01-14;350,0;OK
2010;Centro Sportivo Città di Lodi;2025-01-14;261,2;OK
2001;Scuola Primaria Dante Alighieri;2025-01-15;187,2;OK
2002;Scuola Primaria Dante Alighieri;2025-01-15;85,4;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-15;316,6;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-15;154,6;OK
2005;Biblioteca Civica;2025-01-15;122,5;OK
2006;Asilo Nido Girotondo;2025-01-15;85,3;OK
2007;Asilo Nido Girotondo;2025-01-15;66,7;OK
2008;Piscina Comunale;2025-01-15;1.369,9;OK
2009;Piscina Comunale;2025-01-15;306,2;OK
2010;Centro Sportivo Città di Lodi;2025-01-15;274,9;OK
2001;Scuola Primaria Dante Alighieri;2025-01-16;;OK
2002;Scuola Primaria Dante Alighieri;2025-01-16;86,6;ERR
2003;Palazzo Comunale – Piazza Libertà;2025-01-16;287,0;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-16;142,7;OK
2005;Biblioteca Civica;2025-01-16;124,6;OK
2006;Asilo Nido Girotondo;2025-01-16;82,2;OK
2007;Asilo Nido Girotondo;2025-01-16;60,4;OK
2008;Piscina Comunale;2025-01-16;1.305,2;OK
2009;Piscina Comunale;2025-01-16;331,6;OK
2010;Centro Sportivo Città di Lodi;2025-01-16;250,1;OK
2001;Scuola Primaria Dante Alighieri;2025-01-17;175,2;OK
2002;Scuola Primaria Dante Alighieri;2025-01-17;101,4;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-17;297,4;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-17;142,6;OK
2005;Biblioteca Civica;2025-01-17;119,9;OK
2006;Asilo Nido Girotondo;2025-01-17;92,3;OK
2007;Asilo Nido Girotondo;2025-01-17;63,0;OK
2008;Piscina Comunale;2025-01-17;1.398,5;STIMA
2009;Piscina Comunale;2025-01-17;357,4;OK
2010;Centro Sportivo Città di Lodi;2025-01-17;268,2;OK
2001;Scuola Primaria Dante Alighieri;2025-01-18;85,2;OK
2002;Scuola Primaria Dante Alighieri;2025-01-18;88,8;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-18;164,1;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-18;136,2;OK
2005;Biblioteca Civica;2025-01-18;79,0;OK
2006;Asilo Nido Girotondo;2025-01-18;53,5;OK
2007;Asilo Nido Girotondo;2025-01-18;56,8;OK
2008;Piscina Comunale;2025-01-18;705,5;OK
2009;Piscina Comunale;2025-01-18;330,8;OK
2010;Centro Sportivo Città di Lodi;2025-01-18;130,5;OK
2001;Scuola Primaria Dante Alighieri;2025-01-19;101,1;STIMA
2002;Scuola Primaria Dante Alighieri;2025-01-19;87,0;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-19;171,3;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-19;124,3;OK
2005;Biblioteca Civica;2025-01-19;64,2;OK
2006;Asilo Nido Girotondo;2025-01-19;55,1;OK
2007;Asilo Nido Girotondo;2025-01-19;60,6;OK
2008;Piscina Comunale;2025-01-19;708,2;OK
2009;Piscina Comunale;2025-01-19;358,9;OK
2010;Centro Sportivo Città di Lodi;2025-01-19;170,3;OK
2001;Scuola Primaria Dante Alighieri;2025-01-20;172,9;OK
2002;Scuola Primaria Dante Alighieri;2025-01-20;82,2;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-20;286,4;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-20;118,9;OK
2005;Biblioteca Civica;2025-01-20;135,0;OK
2006;Asilo Nido Girotondo;2025-01-20;90,4;OK
2007;Asilo Nido Girotondo;2025-01-20;52,9;OK
2008;Piscina Comunale;2025-01-20;1.361,0;OK
2009;Piscina Comunale;2025-01-20;299,0;OK
2010;Centro Sportivo Città di Lodi;2025-01-20;256,4;OK
2001;Scuola Primaria Dante Alighieri;2025-01-21;175,2;OK
2002;Scuola Primaria Dante Alighieri;2025-01-21;85,4;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-21;313,4;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-21;126,7;ERR
2005;Biblioteca Civica;2025-01-21;132,8;OK
2006;Asilo Nido Girotondo;2025-01-21;89,6;OK
2007;Asilo Nido Girotondo;2025-01-21;55,9;OK
2008;Piscina Comunale;2025-01-21;1.318,8;OK
2009;Piscina Comunale;2025-01-21;348,9;OK
2010;Centro Sportivo Città di Lodi;2025-01-21;246,6;OK
2001;Scuola Primaria Dante Alighieri;2025-01-22;164,9;OK
2002;Scuola Primaria Dante Alighieri;2025-01-22;99,8;STIMA
2003;Palazzo Comunale – Piazza Libertà;2025-01-22;326,3;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-22;143,4;OK
2005;Biblioteca Civica;2025-01-22;127,9;OK
2006;Asilo Nido Girotondo;2025-01-22;85,6;OK
2007;Asilo Nido Girotondo;2025-01-22;67,4;OK
2008;Piscina Comunale;2025-01-22;1.403,2;OK
2009;Piscina Comunale;2025-01-22;318,2;OK
2010;Centro Sportivo Città di Lodi;2025-01-22;253,6;OK
2001;Scuola Primaria Dante Alighieri;2025-01-23;168,3;STIMA
2002;Scuola Primaria Dante Alighieri;2025-01-23;92,6;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-23;298,8;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-23;160,1;OK
2005;Biblioteca Civica;2025-01-23;118,5;OK
2006;Asilo Nido Girotondo;2025-01-23;93,5;OK
2007;Asilo Nido Girotondo;2025-01-23;57,2;STIMA
2008;Piscina Comunale;2025-01-23;1.429,1;OK
2009;Piscina Comunale;2025-01-23;350,2;OK
2010;Centro Sportivo Città di Lodi;2025-01-23;258,6;OK
2001;Scuola Primaria Dante Alighieri;2025-01-24;163,7;STIMA
2002;Scuola Primaria Dante Alighieri;2025-01-24;76,8;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-24;317,1;STIMA
2004;Palazzo Comunale – Piazza Libertà;2025-01-24;138,5;OK
2005;Biblioteca Civica;2025-01-24;117,5;OK
2006;Asilo Nido Girotondo;2025-01-24;92,1;OK
2007;Asilo Nido Girotondo;2025-01-24;51,4;OK
2008;Piscina Comunale;2025-01-24;1.431,2;OK
2009;Piscina Comunale;2025-01-24;283,7;OK
2010;Centro Sportivo Città di Lodi;2025-01-24;240,5;OK
2001;Scuola Primaria Dante Alighieri;2025-01-25;102,8;OK
2002;Scuola Primaria Dante Alighieri;2025-01-25;78,8;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-25;183,4;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-25;125,3;OK
2005;Biblioteca Civica;2025-01-25;69,5;STIMA
2006;Asilo Nido Girotondo;2025-01-25;42,8;STIMA
2007;Asilo Nido Girotondo;2025-01-25;57,0;OK
2008;Piscina Comunale;2025-01-25;687,0;OK
2009;Piscina Comunale;2025-01-25;317,4;OK
2010;Centro Sportivo Città di Lodi;2025-01-25;141,7;OK
2001;Scuola Primaria Dante Alighieri;2025-01-26;102,4;OK
2002;Scuola Primaria Dante Alighieri;2025-01-26;90,4;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-26;189,2;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-26;131,7;OK
2005;Biblioteca Civica;2025-01-26;79,4;OK
2006;Asilo Nido Girotondo;2025-01-26;53,9;OK
2007;Asilo Nido Girotondo;2025-01-26;56,5;OK
2008;Piscina Comunale;2025-01-26;758,4;OK
2009;Piscina Comunale;2025-01-26;277,5;OK
2010;Centro Sportivo Città di Lodi;2025-01-26;126,7;OK
2001;Scuola Primaria Dante Alighieri;2025-01-27;176,8;OK
2002;Scuola Primaria Dante Alighieri;2025-01-27;82,9;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-27;326,6;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-27;156,8;OK
2005;Biblioteca Civica;2025-01-27;122,8;OK
2006;Asilo Nido Girotondo;2025-01-27;89,7;OK
2007;Asilo Nido Girotondo;2025-01-27;60,8;OK
2008;Piscina Comunale;2025-01-27;1.355,4;OK
2009;Piscina Comunale;2025-01-27;291,1;OK
2010;Centro Sportivo Città di Lodi;2025-01-27;283,5;OK
2001;Scuola Primaria Dante Alighieri;2025-01-28;174,6;OK
2002;Scuola Primaria Dante Alighieri;2025-01-28;84,3;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-28;326,5;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-28;120,7;OK
2005;Biblioteca Civica;2025-01-28;114,7;OK
2006;Asilo Nido Girotondo;2025-01-28;79,6;OK
2007;Asilo Nido Girotondo;2025-01-28;59,4;OK
2008;Piscina Comunale;2025-01-28;1.297,7;OK
2009;Piscina Comunale;2025-01-28;294,0;OK
2010;Centro Sportivo Città di Lodi;2025-01-28;245,1;OK
2001;Scuola Primaria Dante Alighieri;2025-01-29;173,6;OK
2002;Scuola Primaria Dante Alighieri;2025-01-29;100,9;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-29;315,2;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-29;155,3;OK
2005;Biblioteca Civica;2025-01-29;121,9;OK
2006;Asilo Nido Girotondo;2025-01-29;89,1;OK
2007;Asilo Nido Girotondo;2025-01-29;57,7;STIMA
2008;Piscina Comunale;2025-01-29;1.350,4;OK
2009;Piscina Comunale;2025-01-29;303,7;OK
2010;Centro Sportivo Città di Lodi;2025-01-29;271,1;OK
2001;Scuola Primaria Dante Alighieri;2025-01-30;181,8;OK
2002;Scuola Primaria Dante Alighieri;2025-01-30;99,3;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-30;281,6;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-30;127,2;OK
2005;Biblioteca Civica;2025-01-30;116,9;OK
2006;Asilo Nido Girotondo;2025-01-30;90,1;OK
2007;Asilo Nido Girotondo;2025-01-30;67,8;STIMA
2008;Piscina Comunale;2025-01-30;1.335,0;OK
2009;Piscina Comunale;2025-01-30;353,1;OK
2010;Centro Sportivo Città di Lodi;2025-01-30;275,6;OK
2001;Scuola Primaria Dante Alighieri;2025-01-31;165,5;STIMA
2002;Scuola Primaria Dante Alighieri;2025-01-31;80,7;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-31;285,1;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-31;130,8;OK
2005;Biblioteca Civica;2025-01-31;127,0;OK
2006;Asilo Nido Girotondo;2025-01-31;78,9;OK
2007;Asilo Nido Girotondo;2025-01-31;53,8;OK
2008;Piscina Comunale;2025-01-31;1.333,1;OK
2009;Piscina Comunale;2025-01-31;300,5;OK
2010;Centro Sportivo Città di Lodi;2025-01-31;284,0;OK
2001;Scuola Primaria Dante Alighieri;2025-02-01;82,1;OK
2002;Scuola Primaria Dante Alighieri;2025-02-01;81,2;OK
2003;Palazzo Comunale – Piazza Libertà;2025-02-01;156,2;OK
2004;Palazzo Comunale – Piazza Libertà;2025-02-01;142,0;OK
2005;Biblioteca Civica;2025-02-01;70,2;OK
2006;Asilo Nido Girotondo;2025-02-01;51,9;OK
2007;Asilo Nido Girotondo;2025-02-01;50,4;ERR
2008;Piscina Comunale;2025-02-01;690,1;OK
2009;Piscina Comunale;2025-02-01;300,0;OK
2010;Centro Sportivo Città di Lodi;2025-02-01;130,7;STIMA
2001;Scuola Primaria Dante Alighieri;2025-02-02;105,8;OK
2002;Scuola Primaria Dante Alighieri;2025-02-02;74,6;OK
2003;Palazzo Comunale – Piazza Libertà;2025-02-02;153,3;STIMA
2004;Palazzo Comunale – Piazza Libertà;2025-02-02;152,5;OK
2005;Biblioteca Civica;2025-02-02;65,3;OK
2006;Asilo Nido Girotondo;2025-02-02;52,5;OK
2007;Asilo Nido Girotondo;2025-02-02;57,4;OK
2008;Piscina Comunale;2025-02-02;734,5;OK
2009;Piscina Comunale;2025-02-02;280,4;STIMA
2010;Centro Sportivo Città di Lodi;2025-02-02;121,0;ERR
2001;Scuola Primaria Dante Alighieri;2025-02-03;175,4;OK
2002;Scuola Primaria Dante Alighieri;2025-02-03;75,6;OK
2003;Palazzo Comunale – Piazza Libertà;2025-02-03;308,0;OK
2004;Palazzo Comunale – Piazza Libertà;2025-02-03;143,9;OK
2005;Biblioteca Civica;2025-02-03;128,8;OK
2006;Asilo Nido Girotondo;2025-02-03;85,6;OK
2007;Asilo Nido Girotondo;2025-02-03;57,9;OK
2008;Piscina Comunale;2025-02-03;1.342,6;OK
2009;Piscina Comunale;2025-02-03;275,5;OK
2010;Centro Sportivo Città di Lodi;2025-02-03;286,2;OK
2001;Scuola Primaria Dante Alighieri;2025-02-04;185,2;OK
2002;Scuola Primaria Dante Alighieri;2025-02-04;92,3;OK
2003;Palazzo Comunale – Piazza Libertà;2025-02-04;282,1;OK
2004;Palazzo Comunale – Piazza Libertà;2025-02-04;145,7;OK
2005;Biblioteca Civica;2025-02-04;112,5;OK
2006;Asilo Nido Girotondo;2025-02-04;81,7;OK
2007;Asilo Nido Girotondo;2025-02-04;64,6;OK
2008;Piscina Comunale;2025-02-04;1.420,6;OK
2009;Piscina Comunale;2025-02-04;275,4;OK
2010;Centro Sportivo Città di Lodi;2025-02-04;262,2;OK
2001;Scuola Primaria Dante Alighieri;2025-02-05;175,5;ERR
2002;Scuola Primaria Dante Alighieri;2025-02-05;99,5;OK
2003;Palazzo Comunale – Piazza Libertà;2025-02-05;315,9;OK
2004;Palazzo Comunale – Piazza Libertà;2025-02-05;141,1;OK
2005;Biblioteca Civica;2025-02-05;127,9;OK
2006;Asilo Nido Girotondo;2025-02-05;91,4;OK
2007;Asilo Nido Girotondo;2025-02-05;49,1;OK
2008;Piscina Comunale;2025-02-05;1.393,4;STIMA
2009;Piscina Comunale;2025-02-05;311,0;STIMA
2010;Centro Sportivo Città di Lodi;2025-02-05;275,4;OK
2001;Scuola Primaria Dante Alighieri;2025-02-06;165,7;OK
2002;Scuola Primaria Dante Alighieri;2025-02-06;94,3;OK
2003;Palazzo Comunale – Piazza Libertà;2025-02-06;277,9;OK
2004;Palazzo Comunale – Piazza Libertà;2025-02-06;122,9;STIMA
2005;Biblioteca Civica;2025-02-06;134,2;OK
2006;Asilo Nido Girotondo;2025-02-06;88,3;OK
2007;Asilo Nido Girotondo;2025-02-06;63,6;OK
2008;Piscina Comunale;2025-02-06;1.340,6;OK
2009;Piscina Comunale;2025-02-06;350,8;OK
2010;Centro Sportivo Città di Lodi;2025-02-06;253,3;OK
2001;Scuola Primaria Dante Alighieri;2025-02-07;157,9;OK
2002;Scuola Primaria Dante Alighieri;2025-02-07;90,8;OK
2003;Palazzo Comunale – Piazza Libertà;2025-02-07;288,0;ERR
2004;Palazzo Comunale – Piazza Libertà;2025-02-07;120,2;OK
2005;Biblioteca Civica;2025-02-07;125,6;STIMA
2006;Asilo Nido Girotondo;2025-02-07;80,4;OK
2007;Asilo Nido Girotondo;2025-02-07;65,2;OK
2008;Piscina Comunale;2025-02-07;1.412,8;ERR
2009;Piscina Comunale;2025-02-07;277,6;OK
2010;Centro Sportivo Città di Lodi;2025-02-07;270,2;OK
2001;Scuola Primaria Dante Alighieri;2025-02-08;86,1;OK
2002;Scuola Primaria Dante Alighieri;2025-02-08;89,9;OK
2003;Palazzo Comunale – Piazza Libertà;2025-02-08;150,3;OK
2004;Palazzo Comunale – Piazza Libertà;2025-02-08;148,4;OK
2005;Biblioteca Civica;2025-02-08;57,1;OK
2006;Asilo Nido Girotondo;2025-02-08;46,1;OK
2007;Asilo Nido Girotondo;2025-02-08;51,6;STIMA
2008;Piscina Comunale;2025-02-08
2009;Piscina Comunale;2025-02-08;277,2;OK
2010;Centro Sportivo Città di Lodi;2025-02-08;154,1;OK
2001;Scuola Primaria Dante Alighieri;2025-02-09;98,0;OK
2002;Scuola Primaria Dante Alighieri;2025-02-09;88,8;OK
2003;Palazzo Comunale – Piazza Libertà;2025-02-09;159,7;OK
2004;Palazzo Comunale – Piazza Libertà;2025-02-09;135,4;OK
2005;Biblioteca Civica;2025-02-09;73,5;OK
2006;Asilo Nido Girotondo;2025-02-09;41,0;STIMA
2007;Asilo Nido Girotondo;2025-02-09;56,3;OK
2008;Piscina Comunale;2025-02-09;813,4;OK
2009;Piscina Comunale;2025-02-09;315,3;STIMA
2010;Centro Sportivo Città di Lodi;2025-02-09;150,5;OK
2001;Scuola Primaria Dante Alighieri;2025-02-10;159,3;OK
2002;Scuola Primaria Dante Alighieri;2025-02-10;81,0;STIMA
2003;Palazzo Comunale – Piazza Libertà;2025-02-10;290,7;OK
2004;Palazzo Comunale – Piazza Libertà;2025-02-10;126,9;OK
2005;Biblioteca Civica;2025-02-10;123,0;OK
2006;Asilo Nido Girotondo;2025-02-10;81,6;OK
2007;Asilo Nido Girotondo;2025-02-10;49,3;OK
2008;Piscina Comunale;2025-02-10;1.334,6;OK
2009;Piscina Comunale;2025-02-10;311,1;OK
2010;Centro Sportivo Città di Lodi;2025-02-10;266,7;OK
2001;Scuola Primaria Dante Alighieri;2025-02-11;168,8;OK
2002;Scuola Primaria Dante Alighieri;2025-02-11;81,8;OK
2003;Palazzo Comunale – Piazza Libertà;2025-02-11;286,0;OK
2004;Palazzo Comunale – Piazza Libertà;2025-02-11;120,5;OK
2005;Biblioteca Civica;2025-02-11;114,2;OK
2006;Asilo Nido Girotondo;2025-02-11;77,9;OK
2007;Asilo Nido Girotondo;2025-02-11;48,2;OK
2008;Piscina Comunale;2025-02-11;1.355,5;OK
2009;Piscina Comunale;2025-02-11;312,1;STIMA
2010;Centro Sportivo Città di Lodi;2025-02-11;268,1;OK
2001;Scuola Primaria Dante Alighieri;2025-02-12;182,0;OK
2002;Scuola Primaria Dante Alighieri;2025-02-12;77,2;OK
2003;Palazzo Comunale – Piazza Libertà;2025-02-12;295,0;OK
2004;Palazzo Comunale – Piazza Libertà;2025-02-12;130,2;OK
2005;Biblioteca Civica;2025-02-12;123,6;OK
2006;Asilo Nido Girotondo;2025-02-12;86,3;OK
2007;Asilo Nido Girotondo;2025-02-12;49,7;OK
2008;Piscina Comunale;2025-02-12;1.395,9;STIMA
2009;Piscina Comunale;2025-02-12;292,0;OK
2010;Centro Sportivo Città di Lodi;2025-02-12;246,8;OK
2001;Scuola Primaria Dante Alighieri;2025-02-13;162,2;OK
2002;Scuola Primaria Dante Alighieri;2025-02-13;95,4;OK
2003;Palazzo Comunale – Piazza Libertà;2025-02-13;272,0;OK
2004;Palazzo Comunale – Piazza Libertà;2025-02-13;118,2;STIMA
2005;Biblioteca Civica;2025-02-13;113,0;OK
2006;Asilo Nido Girotondo;2025-02-13;86,2;OK
2007;Asilo Nido Girotondo;2025-02-13;50,5;OK
2008;Piscina Comunale;2025-02-13;1.307,1;OK
2009;Piscina Comunale;2025-02-13;268,3;OK
2010;Centro Sportivo Città di Lodi;2025-02-13;275,0;OK
2001;Scuola Primaria Dante Alighieri;2025-02-14;176,7;OK
2002;Scuola Primaria Dante Alighieri;2025-02-14;96,5;STIMA
